epoch,lambda,train_acc,train_brier,train_logprob,valid_acc,valid_brier,valid_logprob,test_acc,test_brier,test_logprob
0,0.01,0.9191769547226988,0.012916996985551252,-0.3424233541493555,0.9642592591709561,0.00596864527746759,-0.1567202338465938,0.9666666666666667,0.00517634397993485,-0.139482203523318
1,0.01,0.9728806584067796,0.00439556524663428,-0.11344349129945656,0.9733333332450301,0.004469695782495869,-0.11952407147045489,0.9759999998410542,0.003882162392139435,-0.10579926145076751
2,0.01,0.9834567900743995,0.002752953400191517,-0.07178990955583353,0.9731481481481481,0.004349272586405277,-0.11889653567362715,0.9763333331743876,0.003771001352618138,-0.1018329360485077
3,0.01,0.9896090535371882,0.0018567766053046383,-0.04992377916726555,0.9738888888888889,0.004317266618233623,-0.12129011074839918,0.9769999998410542,0.003711757386724154,-0.10087784477074942
4,0.01,0.9931069959240195,0.0012735039150771601,-0.03556300304063554,0.9742592592592593,0.004322405774016968,-0.12657903605037268,0.9758333336512248,0.0038797882584234097,-0.10775875878334046
5,0.01,0.9952674897315571,0.0009348894862329718,-0.02691755353791233,0.9762962962962963,0.003955142589854986,-0.11689187456060339,0.9788333330154418,0.003464424605170886,-0.09999030562241872
6,0.01,0.9966666666666667,0.000773883079337146,-0.022631824687736515,0.975925925925926,0.004014848029279772,-0.12219798940130407,0.9770000003178915,0.003696854943409562,-0.1079664176106453
7,0.01,0.9967695473447258,0.0006814940773910475,-0.019865916966165534,0.9762962962079931,0.004044973057591253,-0.1273945254860101,0.9768333330154418,0.003652413222938776,-0.10376849923531214
8,0.01,0.9972633744855967,0.0006043157074301037,-0.017647137176628736,0.9766666666666667,0.0035148312905113454,-0.10879028019529802,0.9810000003178915,0.0031041161230144403,-0.0882196613351504
9,0.01,0.997119341583409,0.0005588417452116399,-0.01607788091517771,0.9774074074074074,0.003607871013946014,-0.11142902939442408,0.9813333330154419,0.0030456918651858966,-0.09120760834217069
10,0.01,0.9981275720164609,0.0004102441253620661,-0.012704310796756308,0.9788888888005857,0.0035372886204816127,-0.11099870359456097,0.9788333328564962,0.003314726508843402,-0.09783997974793117
11,0.01,0.9978189300411523,0.0004467530595380078,-0.013260554046419917,0.9766666665783635,0.0038570139463990926,-0.11733089482342755,0.9786666668256124,0.003449284007151922,-0.10021414057413737
12,0.01,0.9977777777974007,0.0004742638391847171,-0.01369172393294519,0.9757407406524375,0.0037469106266723464,-0.11238387911408036,0.9844999995231628,0.002689050560972343,-0.08273818399508796
13,0.01,0.9984979423868313,0.00036258402912447366,-0.011117556154298687,0.9790740740740741,0.0033877386157918307,-0.09808782815933227,0.9828333334922791,0.002699210126156686,-0.07960729430119197
14,0.01,0.9981069958847737,0.0003903534503185587,-0.011362744101357684,0.9774074074074074,0.0035649279113540953,-0.11068820295544962,0.9813333330154419,0.003018896641714188,-0.09099913491805395
15,0.01,0.9984979423868313,0.000330718931837461,-0.010179641845908196,0.9781481481481481,0.003499114877992758,-0.10621830454579106,0.9831666668256124,0.0027468097869617247,-0.08286645009120307
16,0.01,0.9985390946502057,0.00033179121622957055,-0.010080743837074486,0.9785185185185186,0.003492630212014639,-0.10701766230424659,0.9838333334922791,0.0027275491651768484,-0.08412200119098026
17,0.01,0.998641975308642,0.0003646444834141872,-0.010981574730771323,0.9774074073191042,0.0035870735156694773,-0.11105355439362702,0.981333333492279,0.002856666217216116,-0.08461734149853387
18,0.01,0.9980658436213992,0.0003961339179878776,-0.01155901867942309,0.9792592592592593,0.003345053678688904,-0.10346193256201568,0.9836666668256124,0.0026717095079560145,-0.08142711744705837
19,0.01,0.9988065843817628,0.000263679568702248,-0.008264194798690292,0.980925925925926,0.0030753123525668067,-0.09823831293180033,0.9839999995231629,0.0025412836400403945,-0.08071384353439014
20,0.01,0.9988065843621399,0.00028540345078093097,-0.008966551458945983,0.978148148059845,0.003598506600354557,-0.11119126827628524,0.9818333334922791,0.002970828181656543,-0.08958337647716207
21,0.01,0.9982716049382716,0.0003522093811346921,-0.010385414387248921,0.9764814813931783,0.0037592848164840014,-0.11341292173774153,0.9815000001589457,0.002994971893727779,-0.09352999185522397
22,0.01,0.9988271604938271,0.00024537202234333345,-0.007875322294977217,0.9787037036154005,0.0033588607264337716,-0.10052740791329631,0.9838333328564962,0.002737598809103171,-0.08406695186098415
23,0.01,0.9988271604938271,0.00030531852990289154,-0.009541206861934302,0.9766666666666667,0.0037010649266745466,-0.11239210380517223,0.9831666661898295,0.002814844036086773,-0.08874873345096906
